CarIdx,TeamName,Stint Start Timestamp,Stint End Timestamp,Stint Start SessionTime,Stint End SessionTime,Stint Start Lap,Stint End Lap,"Stint Duration (Time, sec)",Stint Duration (min:sec),Stint Duration (Laps)
60,Pace Car,2025-05-26T18:47:49.756045,2025-05-26T18:53:18.978527,36.166666668404375,365.41666666840183,0,0,329.222482,5:29,0
33,Wuk Lamat,2025-05-26T18:47:49.756020,2025-05-26T19:38:21.227875,36.166666668404375,3067.7166666798244,0,26,3031.471855,50:31,26
27,Ryne,2025-05-26T18:47:49.756016,2025-05-26T19:39:58.683582,36.166666668404375,3165.133333347725,0,27,3128.927566,52:08,27
36,Enkidu,2025-05-26T18:47:49.756023,2025-05-26T19:40:01.762107,36.166666668404375,3168.183333347764,0,27,3132.006084,52:12,27
38,Estinein,2025-05-26T18:47:49.756025,2025-05-26T19:40:02.817185,36.166666668404375,3169.266666681111,0,27,3133.06116,52:13,27
25,Jadato,2025-05-26T18:47:49.756014,2025-05-26T19:40:04.868610,36.166666668404375,3171.316666681137,0,27,3135.112596,52:15,27
29,Gosetsu,2025-05-26T18:47:49.756018,2025-05-26T19:40:06.421375,36.166666668404375,3172.866666681157,0,27,3136.665357,52:16,27
26,Liokki,2025-05-26T18:47:49.756015,2025-05-26T19:40:07.459609,36.166666668404375,3173.9000000145033,0,27,3137.703594,52:17,27
31,Renda-Rae,2025-05-26T18:47:49.756019,2025-05-26T19:40:08.511489,36.166666668404375,3174.9333333478494,0,27,3138.75547,52:18,27
35,Greg,2025-05-26T18:47:49.756023,2025-05-26T19:40:10.075241,36.166666668404375,3176.5500000145366,0,27,3140.319218,52:20,27
32,Lamitt,2025-05-26T18:47:49.756020,2025-05-26T19:40:11.608940,36.166666668404375,3178.0833333478895,0,27,3141.85292,52:21,27
37,Yshtola Rhul,2025-05-26T18:47:49.756024,2025-05-26T19:40:12.663180,36.166666668404375,3179.133333347903,0,27,3142.907156,52:22,27
24,Fourchenault,2025-05-26T18:47:49.756012,2025-05-26T19:40:13.196713,36.166666668404375,3179.650000014576,0,27,3143.440701,52:23,27
40,Thancred Waters,2025-05-26T18:47:49.756027,2025-05-26T19:40:14.719289,36.166666668404375,3181.166666681262,0,27,3144.963262,52:24,27
23,Ameliance,2025-05-26T18:47:49.756012,2025-05-26T19:40:16.287168,36.166666668404375,3182.716666681282,0,27,3146.531156,52:26,27
22,Elidibus,2025-05-26T18:47:49.756011,2025-05-26T19:40:18.848431,36.166666668404375,3185.300000014648,0,27,3149.09242,52:29,27
21,Venat,2025-05-26T18:47:49.756009,2025-05-26T19:40:19.887751,36.166666668404375,3186.3333333479945,0,27,3150.131742,52:30,27
28,Gaia,2025-05-26T18:47:49.756017,2025-05-26T19:40:20.949725,36.166666668404375,3187.400000014675,0,27,3151.193708,52:31,27
30,Hien,2025-05-26T18:47:49.756018,2025-05-26T19:40:21.987156,36.166666668404375,3188.4333333480213,0,27,3152.231138,52:32,27
39,Graha,2025-05-26T18:47:49.756026,2025-05-26T19:40:22.521457,36.166666668404375,3188.9666666813614,0,27,3152.765431,52:32,27
34,Sphene,2025-05-26T18:47:49.756022,2025-05-26T19:40:23.050877,36.166666668404375,3189.5000000147015,0,27,3153.294855,52:33,27
4,Alisaie  Leveilleur ,2025-05-26T18:47:49.755990,2025-05-26T19:47:26.691805,36.166666668404375,3613.133333353417,0,32,3576.935815,59:36,32
13,Krile Maya Baldesion,2025-05-26T18:47:49.756001,2025-05-26T19:47:30.303025,36.166666668404375,3616.75000002013,0,32,3580.547024,59:40,32
17,Sadu Dotharl,2025-05-26T18:47:49.756005,2025-05-26T19:47:31.342861,36.166666668404375,3617.7833333534763,0,32,3581.586856,59:41,32
19,Gaius,2025-05-26T18:47:49.756007,2025-05-26T19:47:32.369182,36.166666668404375,3618.816666686823,0,32,3582.613175,59:42,32
16,Cylva,2025-05-26T18:47:49.756004,2025-05-26T19:47:34.947170,36.166666668404375,3621.300000020188,0,32,3585.191166,59:45,32
8,Nashu Mhakaracca,2025-05-26T18:47:49.755995,2025-05-26T19:47:44.121429,36.166666668404375,3630.583333353639,0,32,3594.365434,59:54,32
1,Celestia Astraethi,2025-05-26T18:47:49.755986,2025-05-26T19:47:45.161865,36.166666668404375,3631.6166666869854,0,32,3595.405879,59:55,32
12,Puddingway,2025-05-26T18:47:49.756000,2025-05-26T19:47:45.698014,36.166666668404375,3632.1500000203255,0,32,3595.942014,59:55,32
7,Hildibrand Manderville,2025-05-26T18:47:49.755994,2025-05-26T19:47:51.322922,36.166666668404375,3637.8000000203974,0,32,3601.566928,60:01,32
18,Magnai Oronir,2025-05-26T18:47:49.756006,2025-05-26T19:47:52.868701,36.166666668404375,3639.3333333537503,0,32,3603.112695,60:03,32
3,Alphinaud Leveilleur ,2025-05-26T18:47:49.755989,2025-05-26T19:47:55.957119,36.166666668404375,3642.416666687123,0,32,3606.20113,60:06,32
2,Iryq,2025-05-26T18:47:49.755988,2025-05-26T19:48:02.153162,36.166666668404375,3648.616666687202,0,32,3612.397174,60:12,32
15,Ardbert,2025-05-26T18:47:49.756003,2025-05-26T19:48:25.623983,36.166666668404375,3672.0666666874986,0,32,3635.86798,60:35,32
6,Urianger Augurelt,2025-05-26T18:47:49.755993,2025-05-26T19:49:33.549727,36.166666668404375,3740.1333333550247,0,33,3703.793734,61:43,33
14,Erenville,2025-05-26T18:47:49.756002,2025-05-26T19:49:34.592800,36.166666668404375,3741.1500000217043,0,33,3704.836798,61:44,33
10,Hythlodaeus,2025-05-26T18:47:49.755997,2025-05-26T19:49:35.114549,36.166666668404375,3741.6500000217106,0,33,3705.358552,61:45,33
9,Emet-Selch,2025-05-26T18:47:49.755996,2025-05-26T19:49:39.214767,36.166666668404375,3745.600000021761,0,33,3709.458771,61:49,33
5,Moenbryda Wilfsunnwyn,2025-05-26T18:47:49.755991,2025-05-26T19:49:41.272926,36.166666668404375,3747.816666688455,0,33,3711.516935,61:51,33
20,Zenos,2025-05-26T18:47:49.756008,2025-05-26T19:49:44.896744,36.166666668404375,3751.4833333551674,0,33,3715.140736,61:55,33
11,Livingway,2025-05-26T18:47:49.756000,2025-05-26T19:49:46.452254,36.166666668404375,3752.9833333551865,0,33,3716.696254,61:56,33
51,Feo Ul,2025-05-26T18:47:49.756038,2025-05-26T19:57:48.498301,36.166666668404375,4234.966666690845,0,35,4198.742263,69:58,35
46,Matoya,2025-05-26T18:47:49.756034,2025-05-26T19:57:54.133504,36.166666668404375,4240.6000000240965,0,35,4204.37747,70:04,35
47,Branden,2025-05-26T18:47:49.756035,2025-05-26T19:57:54.663092,36.166666668404375,4241.133333357422,0,35,4204.907057,70:04,35
42,Luna,2025-05-26T18:47:49.756028,2025-05-26T19:57:55.188309,36.166666668404375,4241.650000024081,0,35,4205.432281,70:05,35
44,Minfilia,2025-05-26T18:47:49.756032,2025-05-26T19:57:58.765920,36.166666668404375,4245.216666690696,0,35,4209.009888,70:09,35
45,Hoary Boulder,2025-05-26T18:47:49.756033,2025-05-26T19:57:59.296710,36.166666668404375,4245.750000024022,0,35,4209.540677,70:09,35
41,Pele,2025-05-26T18:47:49.756027,2025-05-26T19:58:01.880516,36.166666668404375,4248.333333357317,0,35,4212.124489,70:12,35
57,Julyan Manderville,2025-05-26T18:47:49.756042,2025-05-26T19:58:02.928806,36.166666668404375,4249.383333357302,0,35,4213.172764,70:13,35
52,Bakool Ja Ja,2025-05-26T18:47:49.756039,2025-05-26T19:58:03.979795,36.166666668404375,4250.433333357287,0,35,4214.223756,70:14,35
43,Tataru,2025-05-26T18:47:49.756031,2025-05-26T19:58:06.548740,36.166666668404375,4253.000000023916,0,35,4216.792709,70:16,35
58,Lyse,2025-05-26T18:47:49.756044,2025-05-26T19:58:08.613540,36.166666668404375,4255.066666690553,0,35,4218.857496,70:18,35
49,Cirina Mol,2025-05-26T18:47:49.756036,2025-05-26T19:58:09.147770,36.166666668404375,4255.600000023878,0,35,4219.391734,70:19,35
54,Meteion,2025-05-26T18:47:49.756040,2025-05-26T19:58:10.196581,36.166666668404375,4256.650000023863,0,35,4220.440541,70:20,35
56,Godbert Manderville,2025-05-26T18:47:49.756042,2025-05-26T19:58:12.265117,36.166666668404375,4258.733333357167,0,35,4222.509075,70:22,35
48,Nyelbert,2025-05-26T18:47:49.756035,2025-05-26T19:58:13.830401,36.166666668404375,4260.300000023811,0,35,4224.074366,70:24,35
55,Hermes,2025-05-26T18:47:49.756041,2025-05-26T19:58:14.881119,36.166666668404375,4261.3500000237955,0,35,4225.125078,70:25,35
53,Koana,2025-05-26T18:47:49.756039,2025-05-26T19:58:15.414383,36.166666668404375,4261.883333357121,0,35,4225.658344,70:25,35
50,Yugiri,2025-05-26T18:47:49.756037,2025-05-26T20:00:00.143947,36.166666668404375,4366.583333355599,0,36,4330.38791,72:10,36
59,Papalymo,2025-05-26T18:47:49.756044,2025-05-26T20:00:02.196466,36.166666668404375,4368.650000022236,0,36,4332.440422,72:12,36
32,Lamitt,2025-05-26T19:41:14.286975,2025-05-26T20:27:55.242134,3240.7333333486868,6041.716601558688,28,53,2800.955159,46:40,25
8,Nashu Mhakaracca,2025-05-26T19:48:46.115871,2025-05-26T20:28:00.903214,3692.566666687759,6047.366601558606,33,54,2354.787343,39:14,21
27,Ryne,2025-05-26T19:41:00.969445,2025-05-26T20:29:29.752054,3227.416666681851,6136.033268223988,28,55,2908.782609,48:28,27
38,Estinein,2025-05-26T19:41:07.136339,2025-05-26T20:29:39.977188,3233.6000000152626,6146.433398437461,28,55,2912.840849,48:32,27
33,Wuk Lamat,2025-05-26T19:39:22.513121,2025-05-26T20:30:12.033195,3128.9666666806,6179.283398436983,27,55,3049.520074,50:49,28
34,Sphene,2025-05-26T19:41:27.601372,2025-05-26T20:30:12.558636,3254.0666666821894,6179.016764322914,28,55,2924.957264,48:44,27
28,Gaia,2025-05-26T19:41:29.651362,2025-05-26T20:30:16.669166,3256.1000000155486,6183.016764322856,28,55,2927.017804,48:47,27
35,Greg,2025-05-26T19:41:13.784468,2025-05-26T20:33:07.706589,3240.2333333486804,6354.166764320383,28,56,3113.922121,51:53,28
36,Enkidu,2025-05-26T19:41:04.569605,2025-05-26T20:33:28.772280,3231.0333333485632,6375.233430986744,28,56,3144.202675,52:24,28
31,Renda-Rae,2025-05-26T19:41:11.219243,2025-05-26T20:33:36.967473,3237.666666681981,6383.433430986624,28,56,3145.74823,52:25,28
22,Elidibus,2025-05-26T19:41:21.953218,2025-05-26T20:33:41.073025,3248.400000015451,6387.533430986565,28,56,3139.119807,52:19,28
29,Gosetsu,2025-05-26T19:41:09.686427,2025-05-26T20:33:43.128731,3236.133333348628,6389.583430986535,28,56,3153.442304,52:33,28
