Waiting for iRacing session…
Connected to iRacing!
[2025-06-04T01:00:43] Logged 47 cars.
[2025-06-04T01:00:48] Logged 47 cars.
[2025-06-04T01:00:53] Logged 47 cars.
[2025-06-04T01:00:58] Logged 47 cars.
[2025-06-04T01:01:03] Logged 47 cars.
[2025-06-04T01:01:08] Logged 47 cars.
[2025-06-04T01:01:13] Logged 47 cars.
[2025-06-04T01:01:18] Logged 47 cars.
[2025-06-04T01:01:23] Logged 47 cars.
[2025-06-04T01:01:28] Logged 47 cars.
[2025-06-04T01:01:33] Logged 47 cars.
[2025-06-04T01:01:38] Logged 47 cars.
[2025-06-04T01:01:43] Logged 47 cars.
[2025-06-04T01:01:48] Logged 47 cars.
[2025-06-04T01:01:53] Logged 47 cars.
[2025-06-04T01:01:58] Logged 47 cars.
[2025-06-04T01:02:03] Logged 47 cars.
[2025-06-04T01:02:08] Logged 47 cars.
[2025-06-04T01:02:13] Logged 47 cars.
[2025-06-04T01:02:18] Logged 47 cars.
[2025-06-04T01:02:23] Logged 47 cars.
[2025-06-04T01:02:28] Logged 48 cars.
[2025-06-04T01:02:33] Logged 48 cars.
[2025-06-04T01:02:38] Logged 48 cars.
[2025-06-04T01:02:43] Logged 48 cars.
[2025-06-04T01:02:48] Logged 48 cars.
[2025-06-04T01:02:53] Logged 48 cars.
[2025-06-04T01:02:58] Logged 48 cars.
[2025-06-04T01:03:03] Logged 48 cars.
[2025-06-04T01:03:08] Logged 48 cars.
[2025-06-04T01:03:13] Logged 48 cars.
[2025-06-04T01:03:18] Logged 48 cars.
[2025-06-04T01:03:23] Logged 48 cars.
[2025-06-04T01:03:28] Logged 48 cars.
[2025-06-04T01:03:33] Logged 48 cars.
[2025-06-04T01:03:38] Logged 48 cars.
[2025-06-04T01:03:43] Logged 48 cars.
[2025-06-04T01:03:48] Logged 48 cars.
[2025-06-04T01:03:53] Logged 48 cars.
[2025-06-04T01:03:58] Logged 48 cars.
[2025-06-04T01:04:03] Logged 48 cars.
[2025-06-04T01:04:08] Logged 48 cars.
[2025-06-04T01:04:13] Logged 48 cars.
[2025-06-04T01:04:18] Logged 48 cars.
[2025-06-04T01:04:23] Logged 48 cars.
[2025-06-04T01:04:28] Logged 48 cars.
[2025-06-04T01:04:33] Logged 48 cars.
[2025-06-04T01:04:38] Logged 48 cars.
[2025-06-04T01:04:43] Logged 48 cars.
[2025-06-04T01:04:48] Logged 48 cars.
[2025-06-04T01:04:53] Logged 48 cars.
[2025-06-04T01:04:58] Logged 48 cars.
[2025-06-04T01:05:03] Logged 48 cars.
[2025-06-04T01:05:08] Logged 48 cars.
[2025-06-04T01:05:13] Logged 48 cars.
[2025-06-04T01:05:18] Logged 48 cars.
[2025-06-04T01:05:23] Logged 48 cars.
[2025-06-04T01:05:28] Logged 48 cars.
[2025-06-04T01:05:33] Logged 48 cars.
[2025-06-04T01:05:38] Logged 48 cars.
[2025-06-04T01:05:43] Logged 48 cars.
[2025-06-04T01:05:48] Logged 48 cars.
[2025-06-04T01:05:53] Logged 48 cars.
[2025-06-04T01:05:58] Logged 48 cars.
[2025-06-04T01:06:03] Logged 48 cars.
[2025-06-04T01:06:08] Logged 48 cars.
[2025-06-04T01:06:13] Logged 48 cars.
[2025-06-04T01:06:18] Logged 48 cars.
[2025-06-04T01:06:23] Logged 48 cars.
[2025-06-04T01:06:28] Logged 48 cars.
[2025-06-04T01:06:33] Logged 48 cars.
[2025-06-04T01:06:38] Logged 48 cars.
[2025-06-04T01:06:43] Logged 48 cars.
[2025-06-04T01:06:48] Logged 48 cars.
[2025-06-04T01:06:53] Logged 48 cars.
[2025-06-04T01:06:58] Logged 48 cars.
[2025-06-04T01:07:03] Logged 48 cars.
[2025-06-04T01:07:08] Logged 48 cars.
[2025-06-04T01:07:13] Logged 48 cars.
[2025-06-04T01:07:18] Logged 48 cars.
[2025-06-04T01:07:23] Logged 48 cars.
[2025-06-04T01:07:28] Logged 48 cars.
[2025-06-04T01:07:33] Logged 48 cars.
[2025-06-04T01:07:38] Logged 48 cars.
[2025-06-04T01:07:43] Logged 48 cars.
[2025-06-04T01:07:48] Logged 48 cars.
[2025-06-04T01:07:53] Logged 48 cars.
[2025-06-04T01:07:58] Logged 48 cars.
[2025-06-04T01:08:03] Logged 48 cars.
[2025-06-04T01:08:08] Logged 48 cars.
[2025-06-04T01:08:13] Logged 48 cars.
[2025-06-04T01:08:18] Logged 48 cars.
[2025-06-04T01:08:23] Logged 48 cars.
[2025-06-04T01:08:28] Logged 48 cars.
[2025-06-04T01:08:33] Logged 48 cars.
[2025-06-04T01:08:38] Logged 48 cars.
[2025-06-04T01:08:43] Logged 48 cars.
[2025-06-04T01:08:48] Logged 48 cars.
[2025-06-04T01:08:53] Logged 48 cars.
[2025-06-04T01:08:58] Logged 48 cars.
[2025-06-04T01:09:03] Logged 48 cars.
[2025-06-04T01:09:08] Logged 48 cars.
[2025-06-04T01:09:13] Logged 48 cars.
[2025-06-04T01:09:18] Logged 48 cars.
[2025-06-04T01:09:23] Logged 48 cars.
[2025-06-04T01:09:28] Logged 48 cars.
[2025-06-04T01:09:33] Logged 48 cars.
[2025-06-04T01:09:38] Logged 48 cars.
[2025-06-04T01:09:43] Logged 48 cars.
[2025-06-04T01:09:48] Logged 48 cars.
[2025-06-04T01:09:53] Logged 48 cars.
[2025-06-04T01:09:58] Logged 48 cars.
[2025-06-04T01:10:03] Logged 48 cars.
[2025-06-04T01:10:08] Logged 48 cars.
[2025-06-04T01:10:13] Logged 48 cars.
[2025-06-04T01:10:18] Logged 48 cars.
[2025-06-04T01:10:23] Logged 48 cars.
[2025-06-04T01:10:28] Logged 48 cars.
[2025-06-04T01:10:33] Logged 48 cars.
[2025-06-04T01:10:38] Logged 48 cars.
[2025-06-04T01:10:43] Logged 48 cars.
[2025-06-04T01:10:48] Logged 48 cars.
[2025-06-04T01:10:53] Logged 48 cars.
[2025-06-04T01:10:58] Logged 48 cars.
[2025-06-04T01:11:03] Logged 48 cars.
[2025-06-04T01:11:08] Logged 48 cars.
[2025-06-04T01:11:13] Logged 48 cars.
[2025-06-04T01:11:18] Logged 48 cars.
[2025-06-04T01:11:23] Logged 48 cars.
[2025-06-04T01:11:28] Logged 48 cars.
[2025-06-04T01:11:33] Logged 48 cars.
[2025-06-04T01:11:38] Logged 48 cars.
[2025-06-04T01:11:43] Logged 48 cars.
[2025-06-04T01:11:48] Logged 48 cars.
[2025-06-04T01:11:53] Logged 48 cars.
[2025-06-04T01:11:58] Logged 48 cars.
[2025-06-04T01:12:03] Logged 48 cars.
[2025-06-04T01:12:08] Logged 48 cars.
[2025-06-04T01:12:13] Logged 48 cars.
[2025-06-04T01:12:18] Logged 48 cars.
[2025-06-04T01:12:23] Logged 48 cars.
[2025-06-04T01:12:28] Logged 48 cars.
[2025-06-04T01:12:33] Logged 48 cars.
[2025-06-04T01:12:38] Logged 48 cars.
[2025-06-04T01:12:43] Logged 49 cars.
[2025-06-04T01:12:48] Logged 50 cars.
[2025-06-04T01:12:53] Logged 50 cars.
[2025-06-04T01:12:58] Logged 50 cars.
[2025-06-04T01:13:03] Logged 50 cars.
[2025-06-04T01:13:08] Logged 50 cars.
[2025-06-04T01:13:13] Logged 50 cars.
[2025-06-04T01:13:18] Logged 50 cars.
[2025-06-04T01:13:23] Logged 50 cars.
[2025-06-04T01:13:28] Logged 50 cars.
[2025-06-04T01:13:33] Logged 50 cars.
[2025-06-04T01:13:38] Logged 50 cars.
