CarIdx,Class,TeamName,DriverName,Stint Start Timestamp,Stint End Timestamp,Stint Start SessionTime,Stint End SessionTime,Stint Start Lap,Stint End Lap,Stint Duration (sec),Stint Duration (min:sec),Stint Duration (Laps)
22,NEC GT3 2025,Full Force Gremlins 002,Rune Clutch Johansen,2025-06-04T00:10:09,2025-06-04T00:10:33,2463.1501627605767,2487.3168294275506,-1,0,24.1368,0:24,1
32,NEC GT4 2025,HH,Tobias Matheson,2025-06-04T00:32:09,2025-06-04T00:32:50,3783.466829444053,3824.1001627779037,0,0,40.610939,0:40,0
40,NEC GT3 2025,Phantom Sector Racing  881,Anthony Connors,2025-06-04T00:49:54,2025-06-04T00:49:58,4848.366829437084,4852.500162770357,0,0,4.107314,0:04,0
40,NEC GT3 2025,Phantom Sector Racing  881,Anthony Connors,2025-06-04T00:50:06,2025-06-04T00:50:07,4860.766829436903,4861.8001627702215,-1,0,1.033236,0:01,1
42,NEC GT3 2025,Sim Racing Nation - Team Bravo,Juan Jara,2025-06-04T00:49:54,2025-06-04T00:50:24,4848.366829437084,4878.250162769982,-1,0,29.856179,0:29,1
27,NEC GT3 2025,VRC Phantom,Sergio Xharal Avila,2025-06-04T00:49:54,2025-06-04T00:50:45,4848.366829437084,4899.866829436334,4,4,51.473225,0:51,0
11,NEC GT3 2025,Team James Pyper,James Pyper,2025-06-04T00:49:54,2025-06-04T00:50:57,4848.366829437084,4911.716829436162,2,2,63.321201,1:03,0
27,NEC GT3 2025,VRC Phantom,Sergio Xharal Avila,2025-06-04T00:50:49,2025-06-04T00:50:58,4904.016829436274,4912.250162769487,4,4,8.234558,0:08,0
11,NEC GT3 2025,Team James Pyper,James Pyper,2025-06-04T00:50:58,2025-06-04T00:50:59,4912.250162769487,4913.300162769472,-1,2,1.04858,0:01,3
11,NEC GT3 2025,Team James Pyper,James Pyper,2025-06-04T00:51:01,2025-06-04T00:51:03,4915.383496102775,4917.433496102745,-1,2,2.050289,0:02,3
42,NEC GT3 2025,Sim Racing Nation - Team Bravo,Juan Jara,2025-06-04T00:50:43,2025-06-04T00:51:46,4897.816829436364,4961.000162768778,-1,0,63.180797,1:03,1
27,NEC GT3 2025,VRC Phantom,Sergio Xharal Avila,2025-06-04T00:51:47,2025-06-04T00:52:22,4961.5334961021035,4996.500162768261,4,4,34.964623,0:34,0
9,NEC GT3 2025,ATR Argentos MP Maro Plumbing,Diego A Armendariz,2025-06-04T00:49:54,2025-06-04T00:52:48,4848.366829437084,5022.633496101214,5,5,174.233786,2:54,0
