Team,Driver,Class,Pos,Class Pos,Laps,Pits,Avg Lap,Best Lap,Last Lap,In Pit
Pace Car,Pace Car,Class 11,0,0,0,1,,-1.0,-1.0,True
Lily Bowling,Lily Bowling,GT3,0,0,-1,0,,-1.0,-1.0,False
David Leo Martinez,David Leo Martinez,GT3,1,1,1,0,,-1.0,-1.0,False
Juan Pablo Sanchez,Juan Pablo Sanchez,GT3,2,2,1,0,,-1.0,-1.0,False
Vert Wheeler,Vert Wheeler,GT3,3,3,1,0,,-1.0,-1.0,False
Ross Oconnor,Ross Oconnor,GT3,4,4,1,0,,-1.0,-1.0,False
Tom F Kelley,Tom F Kelley,GT3,5,5,1,0,,-1.0,-1.0,False
Josh Cummings2,Josh Cummings2,GT3,6,6,1,0,,-1.0,-1.0,False
Matthew Morhardt,Matthew Morhardt,GT3,7,7,1,0,,-1.0,-1.0,False
Nazarii Prokopov4,Nazarii Prokopov4,GT3,8,8,1,0,,-1.0,-1.0,False
Taylor Belant,Taylor Belant,GT3,9,9,1,0,,-1.0,-1.0,False
Nick Mazza,Nick Mazza,GT3,10,10,1,0,,-1.0,-1.0,False
Joe Nathan,Joe Nathan,GT3,11,11,1,0,,-1.0,-1.0,False
Joao C B Araujo,Joao C B Araujo,GT3,12,12,1,0,,-1.0,-1.0,False
Kjell Haugen,Kjell Haugen,GT3,13,13,1,0,,-1.0,-1.0,False
Jay Bast,Jay Bast,GT3,14,14,1,0,,-1.0,-1.0,False
Matheus Goulart,Matheus Goulart,GT3,15,15,1,0,,-1.0,-1.0,False
Andrew Pickerl,Andrew Pickerl,GT3,16,16,1,0,,-1.0,-1.0,False
Deng Yi,Deng Yi,GT3,17,17,1,0,,-1.0,-1.0,False
Ezequiel Padilla,Ezequiel Padilla,GT3,18,18,1,0,,-1.0,-1.0,False
Markell Holmes,Markell Holmes,GT3,19,19,1,0,,-1.0,-1.0,False
Renso Tejada Gomez,Renso Tejada Gomez,GT3,20,20,1,0,,-1.0,-1.0,False
Daniel Soto4,Daniel Soto4,GT3,21,21,1,0,,-1.0,-1.0,False
Gurkan Demir,Gurkan Demir,GT3,22,22,1,0,,-1.0,-1.0,False
Justin Bragan2,Justin Bragan2,GT3,23,23,1,0,,-1.0,-1.0,False
Thiago S Pereira,Thiago S Pereira,GT3,24,24,1,0,,-1.0,-1.0,False
Brendan Schade,Brendan Schade,GT3,25,25,1,0,,-1.0,-1.0,False
Carlos Llende,Carlos Llende,GT3,26,26,1,0,,-1.0,-1.0,False
Pablo Wolf,Pablo Wolf,GT3,27,27,1,0,,-1.0,-1.0,False
Andrey Nazarov,Andrey Nazarov,GT3,28,28,1,0,,-1.0,-1.0,False
